                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.56082,                0.44538,                0.96796,                0.88575,                0.87037,                0.90612,                0.66942,                0.87943,                0.69301,                 1.1682,             0.00023334,             0.00023334,             0.00023334
                     36,                0.56237,                0.45307,                0.96524,                0.89189,                0.87037,                0.92368,                0.67915,                0.92648,                0.74773,                  1.214,              0.0002192,              0.0002192,              0.0002192
                     37,                0.53973,                0.43987,                0.95827,                0.87888,                0.87348,                0.91139,                0.67756,                0.85823,                0.66834,                 1.1567,             0.00020506,             0.00020506,             0.00020506
                     38,                0.52807,                0.41488,                0.96275,                0.87793,                0.90741,                0.93822,                0.68526,                0.77121,                0.62268,                 1.0971,             0.00019092,             0.00019092,             0.00019092
                     39,                 0.5267,                0.40871,                0.95952,                0.85102,                0.89919,                0.90939,                0.68914,                0.76945,                0.64695,                 1.0928,             0.00017679,             0.00017679,             0.00017679
                     40,                0.53034,                0.41793,                0.96387,                0.88237,                0.93519,                0.95404,                0.69864,                0.80894,                0.69087,                   1.14,             0.00016265,             0.00016265,             0.00016265
                     41,                 0.4318,                0.36215,                0.88568,                0.92882,                0.86111,                 0.9287,                0.67863,                0.85598,                 0.6864,                 1.1531,             0.00014851,             0.00014851,             0.00014851
                     42,                0.40946,                 0.3277,                0.87039,                0.92167,                0.88889,                0.92761,                0.66795,                0.91163,                0.67928,                 1.2135,             0.00013437,             0.00013437,             0.00013437
                     43,                0.40701,                0.31138,                0.87135,                0.92301,                0.88806,                0.92928,                0.68404,                0.95225,                0.70453,                 1.2346,             0.00012024,             0.00012024,             0.00012024
                     44,                0.39858,                0.31475,                0.87749,                0.90698,                0.87963,                 0.9241,                0.67834,                0.99988,                0.72616,                 1.2415,              0.0001061,              0.0001061,              0.0001061
                     45,                0.38406,                0.29549,                0.86321,                0.91415,                0.88734,                0.93705,                0.69958,                0.92744,                0.65273,                  1.218,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     46,                0.37865,                0.28735,                0.85671,                0.89803,                0.89705,                0.93854,                0.69344,                0.84172,                0.62457,                 1.1543,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     47,                0.37455,                0.27789,                0.85993,                0.90986,                0.87963,                0.93469,                0.68535,                0.78909,                0.57985,                 1.1299,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     48,                0.37344,                0.27839,                0.86365,                0.91384,                0.88391,                0.93773,                0.69527,                0.83103,                0.60156,                 1.1646,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     49,                0.36883,                0.27962,                0.86273,                0.92932,                0.85224,                0.93752,                 0.6961,                0.84173,                0.60037,                  1.172,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     50,                0.34812,                0.27039,                0.85176,                0.94335,                0.86111,                0.93828,                0.70474,                 0.8315,                0.59636,                 1.1632,             2.1277e-05,             2.1277e-05,             2.1277e-05
